Date,Open,High,Low,Close,Adj Close,Volume
2019-01-14,48.459999,48.830002,48.299999,48.349998,47.432751,19193900
2019-01-15,48.709999,49.130001,48.439999,48.599998,47.678009,22480800
2019-01-16,48.599998,48.889999,48.080002,48.130001,47.216930,19057700
2019-01-17,48.000000,48.840000,47.910000,48.470001,47.550476,17448700
2019-01-18,49.110001,49.380001,48.689999,49.189999,48.256821,29874600
2019-01-22,48.959999,48.980000,47.869999,48.270000,47.354271,25940700
2019-01-23,48.410000,48.799999,47.520000,47.939999,47.030533,18960700
2019-01-24,48.700001,50.040001,48.599998,49.759998,48.816006,50578300
2019-01-25,46.849998,47.430000,45.750000,47.040001,46.147606,86455700
2019-01-28,46.130001,46.730000,46.049999,46.709999,45.823868,35928700
2019-01-29,46.779999,46.970001,46.330002,46.540001,45.657093,20988300
2019-01-30,46.680000,47.680000,46.450001,47.540001,46.638123,26931700
2019-01-31,46.700001,47.180000,46.099998,47.119999,46.226089,43051300
2019-02-01,47.060001,49.049999,47.009998,48.730000,47.805546,37442900
2019-02-04,48.619999,49.240002,48.240002,49.220001,48.286251,20905000
2019-02-05,49.180000,50.720001,49.180000,50.009998,49.061264,31641600
2019-02-06,49.950001,50.639999,49.820000,49.900002,49.263649,21647800
2019-02-07,49.500000,49.849998,48.680000,49.230000,48.602192,27825900
2019-02-08,48.770000,49.020000,48.009998,48.840000,48.217167,18851200
2019-02-11,49.020000,49.320000,48.580002,48.770000,48.148060,18004100
2019-02-12,49.360001,50.139999,49.270000,50.009998,49.372242,18050100
2019-02-13,50.130001,50.810001,50.000000,50.470001,49.826378,17712800
2019-02-14,50.410000,51.040001,50.349998,50.810001,50.162045,17545400
2019-02-15,51.250000,51.669998,51.090000,51.660000,51.001202,22520400
2019-02-19,51.349998,51.709999,51.340000,51.400002,50.744518,15611800
2019-02-20,51.630001,51.730000,51.060001,51.389999,50.734646,21607700
2019-02-21,51.320000,51.840000,51.209999,51.410000,50.754391,16162100
2019-02-22,52.700001,52.980000,52.060001,52.490002,51.820621,31934100
2019-02-25,53.060001,53.610001,52.860001,53.099998,52.422840,20711800
2019-02-26,53.009998,53.369999,52.910000,53.230000,52.551182,16082200
2019-02-27,52.759998,53.380001,52.509998,53.240002,52.561058,17590300
2019-02-28,52.919998,53.180000,52.810001,52.959999,52.284626,18388800
2019-03-01,53.439999,53.680000,52.889999,53.299999,52.620289,18359300
2019-03-04,53.750000,54.099998,53.209999,53.939999,53.252129,21706100
2019-03-05,53.849998,53.990002,53.110001,53.680000,52.995445,21057700
2019-03-06,53.630001,53.650002,52.939999,52.950001,52.274754,14740500
2019-03-07,52.770000,52.990002,52.360001,52.599998,51.929214,17803000
2019-03-08,51.970001,52.560001,51.700001,52.480000,51.810749,16793900
2019-03-11,52.880001,53.650002,52.570000,53.349998,52.669651,18963000
2019-03-12,53.340000,53.959999,53.180000,53.570000,52.886845,20782100
2019-03-13,54.000000,54.570000,53.650002,54.369999,53.676643,25522300
2019-03-14,54.299999,54.450001,53.330002,53.439999,52.758503,26647100
2019-03-15,53.680000,54.689999,53.680000,54.330002,53.637154,46512500
2019-03-18,54.419998,54.509998,53.869999,54.099998,53.410088,16274000
2019-03-19,54.470001,54.650002,54.000000,54.169998,53.479195,18274800
2019-03-20,54.060001,54.400002,53.610001,53.820000,53.133659,24325300
2019-03-21,53.919998,54.990002,53.840000,54.639999,53.943199,19127200
2019-03-22,54.400002,54.619999,53.209999,53.259998,52.580795,21438400
2019-03-25,52.970001,53.549999,52.380001,52.779999,52.106918,16971400
2019-03-26,53.320000,53.770000,53.040001,53.439999,52.758503,17724300
2019-03-27,53.590000,53.860001,52.939999,53.160000,52.482075,19656000
2019-03-28,53.250000,53.439999,52.770000,53.110001,52.432713,13607900
2019-03-29,53.799999,54.040001,53.480000,53.700001,53.015190,18736100
2019-04-01,54.340000,54.570000,54.099998,54.509998,53.814857,17830400
2019-04-02,54.529999,54.799999,54.230000,54.360001,53.666775,13704500
2019-04-03,55.029999,55.990002,54.889999,55.480000,54.772491,24552800
2019-04-04,55.270000,56.139999,55.270000,55.919998,55.206875,16520500
2019-04-05,55.750000,55.950001,54.869999,55.599998,54.890957,19268400
2019-04-08,55.279999,55.740002,55.200001,55.680000,54.969940,11758800
2019-04-09,55.349998,55.430000,54.900002,55.320000,54.614529,13339700
2019-04-10,55.320000,55.860001,55.320000,55.750000,55.039047,13084000
2019-04-11,55.759998,56.070000,55.630001,55.799999,55.088409,10845800
2019-04-12,56.209999,56.490002,55.840000,56.419998,55.700500,12910200
2019-04-15,56.459999,56.560001,55.919998,56.279999,55.562286,11676900
2019-04-16,56.660000,57.470001,56.070000,56.709999,55.986801,30301900
2019-04-17,58.439999,59.590000,58.119999,58.560001,57.813213,38788400
2019-04-18,58.709999,58.880001,58.119999,58.490002,57.744106,20464200
2019-04-22,58.150002,58.830002,57.880001,58.820000,58.069897,12327500
2019-04-23,58.889999,58.980000,58.500000,58.779999,58.030403,17739900
2019-04-24,58.520000,59.290001,58.139999,58.720001,57.971169,17723700
2019-04-25,58.299999,58.380001,57.230000,57.610001,56.875328,27949900
2019-04-26,52.740002,53.090000,51.520000,52.430000,51.761387,72364500
2019-04-29,52.169998,52.430000,51.000000,51.110001,50.458218,42142300
2019-04-30,51.000000,51.430000,50.869999,51.040001,50.389111,27130900
2019-05-01,51.099998,51.599998,50.740002,50.759998,50.112682,20467600
2019-05-02,50.799999,51.330002,50.119999,50.549999,49.905361,22655400
2019-05-03,51.080002,51.820000,50.730000,51.750000,51.090057,25656600
2019-05-06,50.250000,51.279999,50.189999,51.220001,50.876499,26245200
2019-05-07,50.599998,50.880001,49.930000,50.480000,50.141460,29713400
2019-05-08,50.200001,50.790001,49.070000,49.240002,48.909779,36812400
2019-05-09,47.900002,48.290001,46.049999,46.619999,46.307346,59642200
2019-05-10,46.439999,46.799999,45.099998,46.200001,45.890163,42522800
2019-05-13,45.330002,45.639999,44.700001,44.759998,44.459820,39091900
2019-05-14,45.180000,45.490002,44.869999,45.169998,44.867069,24706500
2019-05-15,44.919998,45.750000,44.759998,45.619999,45.314053,23407900
2019-05-16,45.470001,45.950001,45.419998,45.529999,45.224655,19954700
2019-05-17,45.180000,45.730000,44.759998,44.889999,44.588947,22500400
2019-05-20,44.000000,44.520000,43.450001,43.560001,43.267868,28675000
2019-05-21,44.340000,44.779999,44.180000,44.459999,44.161831,25543400
2019-05-22,44.150002,44.459999,43.849998,44.000000,43.704918,16932500
2019-05-23,43.369999,44.740002,42.860001,44.529999,44.231361,35783900
2019-05-24,44.590000,45.049999,44.490002,44.570000,44.271095,27168100
2019-05-28,44.660000,44.689999,43.299999,43.570000,43.277802,34779900
2019-05-29,43.349998,44.529999,43.330002,44.230000,43.933376,28450300
2019-05-30,44.299999,45.029999,44.230000,44.730000,44.430023,21618900
2019-05-31,44.180000,44.970001,43.930000,44.040001,43.744652,25532500
2019-06-03,44.250000,44.590000,43.200001,43.459999,43.168537,31155700
2019-06-04,44.160000,44.860001,43.770000,44.790001,44.489620,28094900
2019-06-05,45.110001,45.180000,44.189999,44.549999,44.251228,20802000
2019-06-06,44.750000,45.169998,44.509998,45.099998,44.797539,19076200
2019-06-07,45.250000,46.119999,45.099998,46.029999,45.721302,24370300
2019-06-10,46.230000,47.189999,46.200001,46.799999,46.486137,20806100
2019-06-11,47.259998,47.320000,46.520000,46.849998,46.535805,18415500
2019-06-12,46.669998,46.669998,46.250000,46.320000,46.009357,15900600
2019-06-13,46.599998,46.959999,46.529999,46.700001,46.386810,12267600
2019-06-14,45.830002,46.419998,45.549999,46.189999,45.880230,15381100
2019-06-17,46.139999,46.529999,45.799999,46.130001,45.820633,12643300
2019-06-18,46.750000,48.000000,46.599998,47.369999,47.052315,25732300
2019-06-19,47.480000,47.580002,47.000000,47.070000,46.754330,17436400
2019-06-20,47.869999,48.049999,46.869999,47.189999,46.873524,20126800
2019-06-21,46.950001,47.730000,46.799999,47.459999,47.141712,31096300
2019-06-24,47.400002,47.849998,47.169998,47.630001,47.310574,14479900
2019-06-25,47.560001,47.680000,46.799999,46.849998,46.535805,16665600
2019-06-26,47.650002,48.480000,47.560001,48.189999,47.866817,21886300
2019-06-27,48.150002,48.419998,47.240002,47.459999,47.141712,23062900
2019-06-28,47.770000,48.200001,47.680000,47.869999,47.548962,26646200
2019-07-01,49.290001,49.450001,47.750000,48.049999,47.727757,27505400
2019-07-02,47.910000,48.220001,47.689999,48.119999,47.797287,15381600
2019-07-03,48.180000,48.560001,48.000000,48.520000,48.194607,10739100
2019-07-05,48.029999,48.180000,47.439999,48.080002,47.757557,14339200
2019-07-08,47.619999,47.950001,47.070000,47.820000,47.499298,16564300
2019-07-09,47.360001,47.799999,47.130001,47.750000,47.429768,17853200
2019-07-10,47.919998,48.610001,47.900002,48.209999,47.886684,16032300
2019-07-11,48.560001,48.779999,48.310001,48.599998,48.274067,16615100
2019-07-12,49.000000,49.930000,48.810001,49.919998,49.585213,20148700
2019-07-15,50.000000,50.250000,49.770000,50.119999,49.783875,14345100
2019-07-16,49.910000,50.000000,48.959999,49.169998,48.840244,17131400
2019-07-17,49.500000,49.700001,49.240002,49.389999,49.058769,11928600
2019-07-18,49.279999,49.990002,48.889999,49.939999,49.605080,15679600
2019-07-19,49.959999,50.660000,49.910000,50.270000,49.932869,29141100
2019-07-22,50.009998,51.520000,49.889999,51.349998,51.005623,21688000
2019-07-23,52.000000,52.000000,51.299999,51.750000,51.402943,18413500
2019-07-24,51.980000,52.970001,51.799999,52.919998,52.565094,20896400
2019-07-25,52.509998,52.599998,51.880001,52.160000,51.810192,27765400
2019-07-26,52.689999,53.500000,51.529999,51.590000,51.244015,36401500
2019-07-29,51.529999,52.560001,50.779999,52.509998,52.157845,21897500
2019-07-30,51.709999,52.310001,51.560001,51.700001,51.353279,16487700
2019-07-31,51.509998,51.720001,50.049999,50.549999,50.210991,24169800
2019-08-01,50.520000,51.889999,49.470001,49.500000,49.168034,34020800
2019-08-02,49.090000,49.360001,48.500000,48.680000,48.353531,27881600
2019-08-05,47.759998,47.959999,46.570000,46.970001,46.655003,38936600
2019-08-06,47.150002,47.560001,46.770000,46.959999,46.959999,26119600
2019-08-07,46.299999,46.880001,45.970001,46.730000,46.730000,29440400
2019-08-08,46.160000,47.369999,45.910000,47.169998,47.169998,30643700
2019-08-09,46.939999,47.000000,45.779999,45.980000,45.980000,24975500
2019-08-12,45.759998,46.070000,45.439999,45.599998,45.599998,18490300
2019-08-13,45.490002,47.049999,45.360001,46.840000,46.840000,28959500
2019-08-14,46.060001,46.630001,45.650002,45.869999,45.869999,25650200
2019-08-15,46.099998,46.180000,45.439999,45.700001,45.700001,21896000
2019-08-16,46.340000,46.680000,46.060001,46.500000,46.500000,22701800
2019-08-19,47.459999,47.599998,47.040001,47.230000,47.230000,21403600
2019-08-20,47.029999,47.119999,46.459999,46.599998,46.599998,23113300
2019-08-21,47.110001,47.290001,46.889999,47.150002,47.150002,15915000
2019-08-22,47.279999,47.430000,46.689999,46.779999,46.779999,19783000
2019-08-23,46.349998,46.630001,44.799999,44.959999,44.959999,32814000
2019-08-26,45.820000,45.820000,45.250000,45.560001,45.560001,22080500
2019-08-27,45.869999,46.119999,45.500000,45.790001,45.790001,16925500
2019-08-28,45.700001,45.910000,45.369999,45.790001,45.790001,14888800
2019-08-29,46.459999,47.220001,46.400002,46.869999,46.869999,17803800
2019-08-30,47.240002,47.790001,47.160000,47.410000,47.410000,16922600
2019-09-03,47.119999,47.220001,46.500000,46.980000,46.980000,15003800
2019-09-04,47.560001,48.950001,47.540001,48.919998,48.919998,23450700
2019-09-05,49.930000,51.169998,49.869999,50.099998,50.099998,30014200
2019-09-06,50.250000,50.990002,50.070000,50.919998,50.919998,17067900
2019-09-09,51.060001,52.029999,51.020000,51.590000,51.590000,20746600
